time/s          ,Ewe/V           ,x_Na            ,SpecCap/mAh/g   ,D/cm^2/s        ,Cycle           
4.7519986868e+05,4.1773505000e+00,2.5640449348e-01,1.0040637659e+02,7.9177796931e-11,   0
4.8329986304e+05,4.1928015000e+00,2.4767960297e-01,1.0219934159e+02,7.3568076370e-11,   0
4.9139985741e+05,4.2073593000e+00,2.3895477336e-01,1.0399229408e+02,6.0978272534e-11,   0
4.9949985177e+05,4.2205267000e+00,2.3023013832e-01,1.0578520658e+02,5.6566028034e-11,   0
5.0759984614e+05,4.2330933000e+00,2.2150561160e-01,1.0757809682e+02,4.5791442951e-11,   0
5.1569984050e+05,4.2444921000e+00,2.1278109514e-01,1.0937098495e+02,4.8085428953e-11,   0
5.2379983487e+05,4.2562003000e+00,2.0405650161e-01,1.1116388892e+02,5.4613142446e-11,   0
5.3189982560e+05,4.2688355000e+00,1.9533180260e-01,1.1295681457e+02,5.6243416245e-11,   0
5.3999981611e+05,4.2819858000e+00,1.8660709373e-01,1.1474974224e+02,6.4444156736e-11,   0
5.4809980661e+05,4.2963548000e+00,1.7788248336e-01,1.1654264967e+02,7.2630959303e-11,   0
5.5619979711e+05,4.3120117000e+00,1.6915769536e-01,1.1833559360e+02,7.6792011334e-11,   0
5.6429978761e+05,4.3288188000e+00,1.6043297372e-01,1.2012852390e+02,1.8694913424e-09,   0
5.8009496411e+05,4.2733335000e+00,1.6435085627e-01,1.1932339904e+02,4.0460374374e-10,   1
5.9539494602e+05,4.2255569000e+00,1.7306925144e-01,1.1753176883e+02,3.3811772545e-10,   1
6.1069492792e+05,4.1832566000e+00,1.8178774235e-01,1.1574011895e+02,3.6586198933e-10,   1
6.2599490983e+05,4.1391706000e+00,1.9050605614e-01,1.1394850546e+02,4.0124543287e-10,   1
6.4129489173e+05,4.0935054000e+00,1.9922454185e-01,1.1215685665e+02,3.6612191614e-10,   1
6.5659487364e+05,4.0525613000e+00,2.0794280918e-01,1.1036525271e+02,3.7575610896e-10,   1
6.7189485554e+05,4.0135226000e+00,2.1666105974e-01,1.0857365222e+02,3.5967970375e-10,   1
6.8719483745e+05,3.9779174000e+00,2.2537932461e-01,1.0678204879e+02,3.2215252588e-10,   1
7.0249481935e+05,3.9461577000e+00,2.3409736764e-01,1.0499049095e+02,2.9916558952e-10,   1
7.1779480126e+05,3.9171448000e+00,2.4281567928e-01,1.0319887791e+02,2.2194808903e-10,   1
7.3309478296e+05,3.8931651000e+00,2.5153390267e-01,1.0140728300e+02,3.7692156182e-10,   1
7.4839476507e+05,3.8626385000e+00,2.6025212552e-01,9.9615688205e+01,3.1481762101e-10,   1
7.6369474697e+05,3.8353081000e+00,2.6897028506e-01,9.7824106421e+01,3.6227934086e-10,   1
7.7899472888e+05,3.8066213000e+00,2.7768860282e-01,9.6032492121e+01,4.1560609029e-10,   1
7.9429471078e+05,3.7764583000e+00,2.8640682617e-01,9.4240897221e+01,4.5155667849e-10,   1
8.0959469269e+05,3.7453854000e+00,2.9512509096e-01,9.2449293807e+01,5.0920136626e-10,   1
8.2489467459e+05,3.7128875000e+00,3.0384326753e-01,9.0657708523e+01,5.2433024632e-10,   1
8.4019465650e+05,3.6803041000e+00,3.1256140654e-01,8.8866130956e+01,5.4883013427e-10,   1
8.5549463840e+05,3.6472738000e+00,3.2127981361e-01,8.7074498302e+01,4.6970522108e-10,   1
8.7079462011e+05,3.6167119000e+00,3.2999805738e-01,8.5282899209e+01,7.3996743579e-10,   1
8.8609460221e+05,3.5786903000e+00,3.3871620917e-01,8.3491319015e+01,6.4736447501e-10,   1
9.0139458412e+05,3.5431538000e+00,3.4743432936e-01,8.1699745317e+01,6.7689126949e-10,   1
9.1669456602e+05,3.5069821000e+00,3.5615245076e-01,7.9908171370e+01,6.9304069096e-10,   1
9.3199454793e+05,3.4707248000e+00,3.6487062571e-01,7.8116586417e+01,6.8084759143e-10,   1
9.4729452983e+05,3.4352055000e+00,3.7358903763e-01,7.6324952766e+01,7.0963968141e-10,   1
9.6259451174e+05,3.3995490000e+00,3.8230739959e-01,7.4533329385e+01,6.6853445855e-10,   1
9.7789449364e+05,3.3655577000e+00,3.9102581604e-01,7.2741694804e+01,6.4712335663e-10,   1
9.9319447555e+05,3.3330252000e+00,3.9974424760e-01,7.0950057117e+01,6.3199321848e-10,   1
1.0084944575e+06,3.3017979000e+00,4.0846256231e-01,6.9158443446e+01,5.8927073206e-10,   1
1.0237944394e+06,3.2724073000e+00,4.1718071548e-01,6.7366862968e+01,5.7031812752e-10,   1
1.0390944213e+06,3.2441840000e+00,4.2589896263e-01,6.5575263180e+01,4.2401985439e-10,   1
1.0543944018e+06,3.2201381000e+00,4.3461708057e-01,6.3783689943e+01,5.5099146097e-10,   1
1.0696943805e+06,3.1931331000e+00,4.4333525217e-01,6.1992105679e+01,5.3247482463e-10,   1
1.0849943592e+06,3.1667728000e+00,4.5205326783e-01,6.0200553461e+01,6.4554630778e-10,   1
1.1002943381e+06,3.1380727000e+00,4.6077140516e-01,5.8408976241e+01,4.2516470230e-10,   1
1.1155943168e+06,3.1146219000e+00,4.6948951380e-01,5.6617404915e+01,4.1877135501e-10,   1
1.1308942955e+06,3.0907764000e+00,4.7820757104e-01,5.4825844152e+01,4.2299659716e-10,   1
1.1461942742e+06,3.0644591000e+00,4.8692562566e-01,5.3034283927e+01,5.6634292385e-10,   1
1.1614942529e+06,3.0283048000e+00,4.9564380616e-01,5.1242697834e+01,7.9102159359e-10,   1
1.1767942317e+06,2.9815748000e+00,5.0436208373e-01,4.9451091793e+01,6.3429476737e-10,   1
1.1920942104e+06,2.9421072000e+00,5.1308035370e-01,4.7659487314e+01,4.5251122935e-10,   1
1.2073941891e+06,2.9101071000e+00,5.2179878082e-01,4.5867850542e+01,2.6253741028e-10,   1
1.2226941676e+06,2.8846741000e+00,5.3051698036e-01,4.4076260536e+01,3.1633261954e-10,   1
